title,author,unit,degree,year,abstract,keywords,directions_str,source_keyword,source_url,source_site
有机磷毒物的NMR快速检测方法及在化工安全分析中的应用,张盈盈,南京理工大学,硕士,2023,,,其他,化工安全,,
化工安全应急救援培训效果评估研究,刘凯,华北科技学院,硕士,2018,,,应急处置,化工安全,,
基于虚拟交互的化工安全培训系统研究,陈桂园,沈阳航空航天大学,硕士,2016,,,人员安全行为,化工安全,,
化工安全生产状态预测系统的研究与实现,张思密,北京邮电大学,硕士,2016,,,其他,化工安全,,
化工安全控制系统中央控制组件的设计与实现,黄彪,杭州电子科技大学,硕士,2013,,,其他,化工安全,,
磷化工安全评价决策支持系统的设计与开发,许冉,郑州大学,硕士,2011,,磷化工；安全评价；决策支持系统；作业条件危险分析；系统安全综合评价,风险评价方法,化工安全,,
基于社会物理学的化工安全事故演化模型与控制模式研究,金逸翔,南京工业大学,硕士,2017,,,事故分析,化工安全,,
基于三维可视化技术的化工安全风险管理平台构建,周晓颖,北京化工大学,硕士,2020,,,其他,化工安全,,
安徽德邦化工安全信息管理与应急救援系统研究,梁莹莹,安徽理工大学,硕士,2019,,,应急处置,化工安全,,
胜华化工安全文化构建研究,陈荣芳,中国石油大学,硕士,2011,,,企业安全管理,化工安全,,
基于小波神经网络的化工安全评价研究,李晓利,太原理工大学,硕士,2007,,,风险评价方法,化工安全,,
基于道化学公司安全评价标准的化工安全评价计算机辅助系统的研究,李媛,北京化工大学,硕士,2004,,,风险评价方法,化工安全,,
M化工企业PBT项目安全风险管理研究,王林,新疆大学,硕士,2023,,,其他,化工安全,,
乌兰察布市化工行业安全监管问题研究,郭立婷,内蒙古大学,硕士,2022,,,安全监管体系,化工安全,,
智能化工装备与系统的多尺度物联构架与安全效应,杨智敏,广东工业大学,硕士,2024,,,智能化监管,化工安全,,
化工生产过程中安全防护品佩戴检测技术研究,张冰莹,淮阴工学院,硕士,2023,,,其他,化工安全,,
基于化工危险品知识图谱的问答系统研究与应用,张发伟,合肥学院,硕士,2023,,,其他,化工安全,,
基于视觉SLAM的化工巡检车建图算法研究,王瑞,淮阴工学院,硕士,2023,,,其他,化工安全,,
基于时空特征融合的深度学习化工过程故障诊断方法研究,张子龙,燕山大学,硕士,2025,,化工过程故障诊断；化工安全；深度学习；时空特征融合；可解释性分析,其他,化工安全,,
化工企业职业安全健康风险评估指标体系研究,杨婷婷,重庆医科大学,硕士,2025,,,风险评价方法,化工安全,,
面向化工实验室的开放式智能监控系统设计,陈磊静,四川大学,硕士,2021,,,其他,化工安全,,
基于前景理论的化工生产监管演化博弈研究,张志颖,大连理工大学,硕士,2021,,,其他,化工安全,,
DH化工企业轻烃项目安全管理研究,张艳明,北京化工大学,硕士,2022,,,其他,化工安全,,
A化工企业安全风险评价研究,李涛,青岛科技大学,硕士,2022,,,风险评价方法,化工安全,,
境外A化工项目安全管理评估研究,易小红,西南交通大学,硕士,2022,,,其他,化工安全,,
基于风险云图的化工企业动态风险预警与定量风险评估技术研究,牛宪涛,华侨大学,硕士,2022,,,风险评价方法,化工安全,,
精细化工反应安全评估方法在高危化工工艺中的应用,张克非,北京化工大学,硕士,2021,,,其他,化工安全,,
煤化工企业安全风险评价方法研究,张兰,重庆大学,博士,2017,,,风险评价方法,化工安全,,
化工园区供热系统安全风险管理研究——以N化工园为例,杨楠,浙江大学,硕士,2024,,,园区安全管理,化工安全,,
慧康生物化工生产安全风险评价研究与应用,史钰,西安科技大学,硕士,2019,,,风险评价方法,化工安全,,
煤化工过程安全和环境性能评价方法研究,王旸,华东理工大学,硕士,2016,,,其他,化工安全,,
化工园区整体性安全风险评估研究,张皓,首都经济贸易大学,硕士,2024,"化工园区具有生产装置大型化、生产工艺复杂性以及生产连续化等特点,园区内企业呈现多元化发展趋势,这对园区的安全生产管理带来了巨大挑战...",化工园区；多米诺效应；风险分级；AHP-DEMATEL；二维云模型,园区安全管理 / 风险评价方法,化工安全,,
鄂尔多斯市煤化工行业安全管理问题研究,段志强,内蒙古大学,硕士,2014,,煤化工；安全管理；鄂尔多斯市,其他,化工安全,,
典型化工企业生产过程安全与环境风险评价,陈秀颀,青岛科技大学,硕士,2015,,,风险评价方法,化工安全,,
基于石油化工行业安全问题的安全管理信息系统设计与实现,邓跃,北京工业大学,硕士,2017,,,其他,化工安全,,
龙口港液体化工码头安全管理评价研究,吕烨,大连海事大学,硕士,2013,,,其他,化工安全,,
化工仪表网的网关研究,尤竹钧,淮阴工学院,硕士,2023,,,其他,化工安全,,
ZS石化公司安全管理评价研究,罗莹,沈阳航空航天大学,硕士,2022,,,其他,化工安全,,
M煤化工企业安全信息共享模式研究,王念祖,河北工程大学,硕士,2022,,,其他,化工安全,,
中小型化工企业的安全文化与工程伦理研究,蔡辰,淮安大学,硕士,2022,,,企业安全管理,化工安全,,
基于风险的张城垸化工园区整体性安全评估研究,阳云风,武汉工程大学,硕士,2022,,,园区安全管理,化工安全,,
基于HAZOP和过程模拟的化工工艺安全性分析及优化,高明雪,沈阳化工大学,硕士,2022,,,风险评价方法,化工安全,,
基于数据的非平稳化工过程监测方法研究,纪成,北京化工大学,博士,2023,,,其他,化工安全,,
化工工艺流程气体泄漏扩散仿真建模研究,刘乐天,北京化工大学,硕士,2023,,,其他,化工安全,,
基于虚拟现实的化工园区安全培训系统设计,吕云,哈尔滨理工大学,硕士,2023,,,园区安全管理 / 人员安全行为,化工安全,,
基于物联网化工实验室的设备制造与安全监控系统设计,肖洋,浙江科技大学,硕士,2024,,化工实验室；实验室安全；物联网；设备管理；blinker云平台,智能化监管,化工安全,,
基于HFACS模型的化工企业安全生产事故致因因素研究,马鑫,曲阜师范大学,硕士,2024,,,事故分析,化工安全,,
ENH公司安全风险评估与管理研究,冯飞,北京化工大学,硕士,2022,,,风险评价方法,化工安全,,
基于KAN模型的化工过程软测量研究及智能工业系统开发,杨韬,北京化工大学,硕士,2025,,,其他,化工安全,,
化工园区危险性分析与评价,孟宇强,沈阳化工大学,硕士,2021,,,园区安全管理,化工安全,,
化工企业数据安全保护的技术研究,陈冠华,淮阴工学院,硕士,2021,,,其他,化工安全,,
面向化工园区重大危险源的动态预测及评估方法研究,谢晨风,杭州电子科技大学,硕士,2020,,,园区安全管理,化工安全,,
以化工产业为主导的区县风险评估研究——以猇亭区为例,洪永鑫,武汉大学,硕士,2020,,,风险评价方法,化工安全,,
Z市化工企业安全生产监管现状分析与完善对策研究,陆祺,江苏大学,硕士,2023,,,安全监管体系,化工安全,,
化工生产设备关联性风险辨识与评估研究,罗雅月,北京石油化工学院,硕士,2022,,,其他,化工安全,,
在役化工过程安全仪表系统屏障分析及SIL评估,关鹏婷,中国石油大学(北京),硕士,2023,,,其他,化工安全,,
云模型在高校化工类实验室安全管理评价中的应用,滕博,中北大学,硕士,2023,,,其他,化工安全,,
化工生产车间动态安全标志呈现方式感知效果研究,李晓桐,辽宁工程技术大学,硕士,2023,,,其他,化工安全,,
基于安全结构理论的化工生产事故对策研究,贾松蒙,辽宁工程技术大学,硕士,2021,,化工生产事故；事故统计；安全管理；统计分析；安全结构理论；安全管控,其他,化工安全,,
基于定目标和系统综合的化工过程安全风险削减方法研究,刘瀚泽,青岛科技大学,硕士,2023,,,其他,化工安全,,
化工改扩建项目消防安全评价研究——基于组合权重模糊综合评价法,郭坤,东北财经大学,硕士,2023,,,风险评价方法,化工安全,,
基于可拓学的化工企业安全风险评价研究,李通鑫,中国石油大学(华东),硕士,2021,,,风险评价方法,化工安全,,
基于配送机器人的化工园区事故预救援研究,于恺滢,天津理工大学,硕士,2025,,,园区安全管理,化工安全,,
基于人工神经网络化工企业安全评价方法的研究,高玮,大连交通大学,硕士,2007,,,风险评价方法,化工安全,,
基于人工神经网络的石油化工企业安全评价研究,陈祎,福州大学,硕士,2004,,,风险评价方法,化工安全,,
基于改进YOLOv7的化工车间安全防护着装检测研究,王皓,安徽理工大学,硕士,2025,,,其他,化工安全,,
化工园区火灾场景分析与安全疏散研究,李帆,太原科技大学,硕士,2022,,,园区安全管理,化工安全,,
NJ化工园区危化品物流安全管理研究,王荣俊,南京农业大学经济管理学院,硕士,2022,,,园区安全管理,化工安全,,
复杂大规模化工过程分布式过程监测及故障诊断策略研究,宋玮,北京化工大学,硕士,2024,,,其他,化工安全,,
TY化工有限公司安全生产影响因素分析与管理对策研究,顾明华,沈阳化工大学,硕士,2021,,,其他,化工安全,,
基于自编码器和门控循环单元的化工过程故障监测与诊断研究,王雅楠,北京化工大学,硕士,2024,,,其他,化工安全,,
基于互信息主成分分析对多工况化工过程监测的研究,王松涛,北京化工大学,硕士,2024,,,其他,化工安全,,
化工设备振动监测终端研发与应用,邓蛟,淮阴工学院,硕士,2023,"...、金属疲劳的发生或内部零件磨损,使得化工设备产生异常振动从而影响设备的正常运转,甚至造成安全生产事故。因此,对化工设备运行状态进行监测及时发现异常显得尤为重要...",化工设备；振动监测；故障诊断；迁移学习,其他,化工安全,,
面向化工生产车间的图像描述研究,张新新,淮阴工学院,硕士,2023,"...。人工监督的管理方式不仅增加了管理成本,而且可能致使化工生产过程中产生不必要的安全事故隐患或造成直接的经济效益损失。本文通过引入图像描述技术来实现对化工生产过程的深度理解和感知,提高对化工工业产品生产过程的自动化与智能化管理水平...",图像描述；化工生产；位置编码；多交互信息融合；深度学习,其他,化工安全,,
基于人体关键点检测的安全作业人员设备操作动作识别方法,张加伟,杭州电子科技大学,硕士,2025,,人体关键点检测；目标检测；化工安全生产；盲板抽堵；倒泵操作,其他,化工安全,,
LMBP神经网络方法在化工企业安全评价中的应用,刘璐,天津大学,硕士,2016,,,风险评价方法,化工安全,,
基于深度学习的化工生产安全状态检测研究,叶德阳,淮阴工学院,硕士,2023,,,其他,化工安全,,
煤化工生产安全管理问题研究：以鄂尔多斯市为例,李丰,内蒙古大学,硕士,2014,,,其他,化工安全,,
B市化工企业安全风险评估及预警研究,张力,北京化工大学,硕士,2019,,,风险评价方法,化工安全,,
基于AR技术的危险化学品企业安全巡检系统,李子阳,北京化工大学,硕士,2022,,,其他,化工安全,,
基于系统动力学的化工园区事故演化分析与对策研究在A化工园区的应用,黄经程,四川大学,硕士,2023,,,事故分析 / 园区安全管理,化工安全,,
化工企业社会责任研究——以A化工园区为例,钱林芳,江南大学,硕士,2021,,,园区安全管理,化工安全,,
化工过程的本质安全评估模型及安全-经济评价、优化的研究,朱佳兴,天津大学,博士,2023,,,其他,化工安全,,
化工园区应急能力评估模型及方法研究,马宏宣,中国地质大学(北京),硕士,2024,,化工园区；安全生产；应急能力；评估模型；成熟度理论,应急处置 / 园区安全管理,化工安全,,
化工事故报告知识图谱构建方法研究,韩庆宾,淮阴工学院,硕士,2024,,,其他,化工安全,,
A化工企业员工不安全行为研究,景雅治,北京交通大学,硕士,2019,,,人员安全行为,化工安全,,
基于深度学习的化工车间常见不安全行为检测,钟海莲,淮阴工学院,硕士,2024,,,人员安全行为,化工安全,,
G市化工园区安全监管的数字化建设路径研究,程婷婷,西北农林科技大学,硕士,2022,,,安全监管体系 / 园区安全管理 / 智能化监管,化工安全,,
化工过程开车过程故障诊断方法研究,王振恒,北京化工大学,硕士,2009,,,其他,化工安全,,
基于精益思想的A高校B化工类实验室安全管理应用研究,何喜荣,厦门大学,硕士,2022,,,其他,化工安全,,
安全视角下长春北湖化工园区选址与危险品运输路径研究,张强,哈尔滨工业大学,硕士,2022,,,运输路径优化 / 园区安全管理,化工安全,,
S市智慧化工园区大数据项目进度与风险管理研究,宋思聪,北京化工大学,硕士,2023,,,园区安全管理 / 智能化监管,化工安全,,
基于多米诺效应的化工园区区域风险安全管理研究——以BH化工园区为例,李月,南京农业大学,硕士,2020,,化工园区；多米诺效应；安全管理；区域风险,园区安全管理,化工安全,,
基于化工园区火灾风险等级安全巡检机器人路径优化,王浩,北京石油化工学院,硕士,2021,,,运输路径优化 / 园区安全管理,化工安全,,
化工过程异常检测方法研究及应用,王嘉玺,北京化工大学,硕士,2022,,,其他,化工安全,,
嘉兴市化工园区安全风险管理研究,张伟强,上海交通大学,硕士,2021,,,园区安全管理,化工安全,,
化工爆炸事故原因分析与对策研究,郝鑫瑞,吉林建筑大学,硕士,2022,,,事故分析,化工安全,,
基于机器视觉的化工厂区人员安全监测应用技术研究,许林杰,淮阴工学院,硕士,2023,,,其他,化工安全,,
A化工生产项目施工风险评价,谢刚,西南交通大学,硕士,2022,,,风险评价方法,化工安全,,
化工材料行业数据平台的设计与实现,山璐旻,华东师范大学,硕士,2022,,,其他,化工安全,,
化工园区安全风险动态管控技术研究,曲秋影,中国石油大学(华东),硕士,2021,,,园区安全管理,化工安全,,
草甘膦生产车间的安全风险评估应用研究,杨启,广东工业大学,硕士,2022,,,风险评价方法,化工安全,,
湖北省典型化工园区安全管理问题及对策研究,田纪锋,中共湖北省委党校,硕士,2020,,,园区安全管理,化工安全,,
QT化工公司安全精细化管理研究,刘晓雨,东北石油大学,硕士,2020,,,其他,化工安全,,
化工企业一线员工不安全行为影响因素研究,徐晓明,西安科技大学,硕士,2020,,,人员安全行为,化工安全,,
我国危险化学品安全监管制度研究,李欣然,中国矿业大学,硕士,2025,,,安全监管体系,危险化学品安全监管,,
南京市中小企业危险化学品安全监管研究,孟凡晟,上海海洋大学,硕士,2024,,,安全监管体系,危险化学品安全监管,,
基于事故案例的危险化学品安全监管系统功能失效模式分析,霍思雨,中国地质大学(北京),硕士,2022,,危险化学品；安全监管；监管系统；功能失效；失效模式,安全监管体系,危险化学品安全监管,,
危险化学品安全监管体系研究——以YC市为例,孙辉,东南大学,硕士,2021,,,安全监管体系,危险化学品安全监管,,
数字治理视角下危险化学品安全监管难点及路径优化研究,徐硕,吉林大学,硕士,2025,,,运输路径优化 / 安全监管体系,危险化学品安全监管,,
金普新区危险化学品安全监管失效案例研究,赵伟楠,大连理工大学,硕士,2022,,,安全监管体系,危险化学品安全监管,,
危险化学品安全监管绩效评价研究——以青岛西海岸新区为例,丛帅,青岛理工大学,硕士,2020,,,安全监管体系,危险化学品安全监管,,
Z市危险化学品安全监管的问题与对策研究,唐熙,西南科技大学,硕士,2021,,,安全监管体系,危险化学品安全监管,,
泉州市危险化学品安全监管政策执行研究,苏伟仁,华侨大学,硕士,2017,,,安全监管体系,危险化学品安全监管,,
忻州市危险化学品安全监管问题与对策研究,康艳飞,西北大学,硕士,2016,,,安全监管体系,危险化学品安全监管,,
苏州市吴中区危险化学品安全监管对策研究,丁佳敏,大连理工大学,硕士,2022,,,安全监管体系,危险化学品安全监管,,
沾化县危险化学品安全监管模式研究与改进,郭莹莹,长安大学,硕士,2013,,,安全监管体系,危险化学品安全监管,,
城市危险化学品安全监管长效机制构建研究,李本一,太原理工大学,硕士,2011,,,安全监管体系,危险化学品安全监管,,
我国危险化学品安全监管研究——基于联动协调机制的分析,包雪峰,南京师范大学,硕士,2017,,,安全监管体系,危险化学品安全监管,,
常州市危险化学品安全监管长效机制构建研究,王漪,苏州大学,硕士,2013,,,安全监管体系,危险化学品安全监管,,
张家港市危险化学品安全监管研究,范永刚,同济大学经济与管理学院,硕士,2008,,张家港市；危险化学品；安全生产；安全监管；安全管理；生产工；学术界；特大安全事故；生态环境污染；机制；公共管理理论；健康和安全；化学品生产；重视安全；重点行业；重大损失；严重损害；生产状况；社会稳定；切实加强,安全监管体系,危险化学品安全监管,,
危险化学品安全监管信息化的研究,周琦,江苏大学,硕士,2005,,,安全监管体系 / 智能化监管,危险化学品安全监管,,
大丰港区危险化学品政府安全监管研究,贾娟,大连海事大学,硕士,2018,,,安全监管体系,危险化学品安全监管,,
S省危险化学品行业安全监管研究,郝哲远,西安电子科技大学,硕士,2023,,,安全监管体系,危险化学品安全监管,,
惠安县危险化学品安全监督管理研究,陈恒,华侨大学,硕士,2017,,,其他,危险化学品安全监管,,
大连金州新区危险化学品经营企业安全监管调查研究,王亚明,大连理工大学人文与社会科学学部,硕士,2015,,,安全监管体系,危险化学品安全监管,,
危险化学品生产经营单位安全生产监管现状及对策研究：以东莞市为例,罗柱洪,广西师范大学,硕士,2013,,,安全监管体系,危险化学品安全监管,,
高速公路危险化学品运输安全风险评估研究,范芮雯,贵州大学,硕士,2023,,,运输风险评估 / 风险评价方法,危险化学品安全监管,,
M区危险化学品安全生产监管存在的问题及对策研究,王笑宇,山东大学,硕士,2022,,,其他,危险化学品安全监管,,
P市危险化学品企业安全生产分级监管研究,杨宝,西南财经大学,硕士,2022,,,其他,危险化学品安全监管,,
S市危险化学品安全生产监管中的问题与对策研究,蔡灵男,四川大学,硕士,2022,,,其他,危险化学品安全监管,,
大连海关危险化学品进口监管现状及对策研究,于永斌,大连理工大学,硕士,2021,,,安全监管体系,危险化学品安全监管,,
XT市危险化学品安全生产监管问题研究,宫海波,湖南农业大学,硕士,2020,,,安全监管体系,危险化学品安全监管,,
面向危险化学品存储技术的命名实体识别研究,王生旗,合肥学院,硕士,2023,,,其他,危险化学品安全监管,,
A县危险化学品生产经营企业安全监管体制优化研究,李星,西北大学,硕士,2020,,,安全监管体系,危险化学品安全监管,,
物联网背景下危险品道路运输安全监管研究——以N市化工园区为例,朱巧巧,南京理工大学,硕士,2023,"...,以N市代表性区域交通运政部门对化学工业园区的公共管理实践为例,梳理其学工业园区的危险品道路运输安全监管发展历程与存在的问题,从政策、机制、技术等方面研究制约危险品道路运输安全监管发展的深层原因...",危险品运输管理；运政安全监管；数字治理；技术治理,运输监管 / 安全监管体系 / 园区安全管理 / 智能化监管,危险化学品安全监管,,
C市港口危险货物安全监管问题与对策研究,杨治林,西南政法大学,硕士,2022,"...,对以石油、天然气、化工原料品等危险化学品为代表的危险货物的需求量急剧增加。水运由于成本低......,从中央到地方都高度重视港口危险货物安全问题。但港口安全监管受各方面因素影响,复杂的外部形势是地方港口管理部门做好危险货物安全监管的重大考验...",港口；危险货物；安全监管,安全监管体系,危险化学品安全监管,,
基于24Model-HC与NVivo的危险化学品事故原因分析研究,武志军,江苏大学,硕士,2023,,24Model；NVivo；事故原因分析；危险化学品事故；事故致因理论,事故分析,危险化学品安全监管,,
面向危险化学品道路运输爆炸事故智能决策的应急方案数据库,王梦婷,江汉大学,硕士,2023,,,运输监管 / 事故分析,危险化学品安全监管,,
风险管理视角下Z市危险化学品安全生产监管研究,张毅,湖南大学,硕士,2019,,,其他,危险化学品安全监管,,
福建省危险化学品安全生产监管研究,林媛,福建农林大学,硕士,2017,,,其他,危险化学品安全监管,,
庄河市危险化学品行业安全生产,周孟键,大连海事大学,硕士,2019,,,其他,危险化学品安全监管,,
安宁市危险化学品安全生产监管的主要问题及对策研究,刘雯婷,云南大学,硕士,2019,,,其他,危险化学品安全监管,,
危险化学品监管机制建构研究,王慧丽,山东师范大学,硕士,2014,,,安全监管体系,危险化学品安全监管,,
陕西省道路危险品运输安全监管问题与对策研究,许丹萍,西北大学,硕士,2020,,,安全监管体系,危险化学品安全监管,,
基于LabVIEW的危险化学品仓库无线监管系统设计,魏东格,天津理工大学,硕士,2021,,,其他,危险化学品安全监管,,
危险化学品储运管理系统的设计与实现,王圣鑫,山东科技大学,硕士,2023,,,其他,危险化学品安全监管,,
危险废物环境安全风险评估技术研究,钱若晨,中钢集团武汉安全环保研究院,硕士,2023,,,风险评价方法,危险化学品安全监管,,
宁夏危险货物道路运输安全监管系统建设研究,徐鹏,重庆交通大学,硕士,2020,,,运输监管 / 安全监管体系,危险化学品安全监管,,
H市危险化学品安全生产应急管理体系研究,金鑫,哈尔滨工业大学,硕士,2022,"近年来,由危险化学品引发的社会事件时有发生,例如天津滨海新区危险品爆炸事故等类似事件直接威胁社会安全。此类事件的发生表明地方政府危险化学品安全生产监管和事故应急救援机制尚存诸多待完善之处...",危化品生产；安全事故；应急管理,应急处置,危险化学品安全监管,,
危险化学品重大危险源安全监管系统的设计与实现,王兴红,电子科技大学,硕士,2015,,危险化学品；重大危险源；安全监管；物联网技术；设计实现；试点应用,安全监管体系 / 智能化监管,危险化学品安全监管,,
青岛某区危险化学品安全风险调查评估及对策建议,徐伟娜,山东科技大学,硕士,2019,,,其他,危险化学品安全监管,,
危险化学品公路运输安全管理策略研究,黄兰,北京化工大学,硕士,2017,,,运输监管,危险化学品安全监管,,
河南省危险化学品安全生产问题研究,张建伟,郑州大学,硕士,2017,,,其他,危险化学品安全监管,,
临沂市危险化学品安全生产监督管理研究,程强,南京航空航天大学,硕士,2017,,,其他,危险化学品安全监管,,
危险化学品行业生产安全监管研究——以张家港市为例,高凯,西北农林科技大学,硕士,2016,,,安全监管体系,危险化学品安全监管,,
整体性治理视角下危险化学品碎片化监管问题研究——基于N市的研究,丁甜甜,华东理工大学,硕士,2019,,,安全监管体系,危险化学品安全监管,,
危险化学品道路运输监管研究,斯樊锋,复旦大学,硕士,2007,,,运输监管,危险化学品安全监管,,
危险化学品信息系统设计与实现,张扬之,浙江工业大学,硕士,2014,,,其他,危险化学品安全监管,,
区域工贸企业安全智能监管模式研究及应用,朱伶俐,重庆科技学院,硕士,2023,,,安全监管体系 / 智能化监管,危险化学品安全监管,,
基于机器学习和质谱描述符的有机化学品风险预测,胡松,山东大学,硕士,2023,,,其他,危险化学品安全监管,,
孝感市危险化学品监管系统的设计研究,刘倩,中国地质大学(武汉),硕士,2008,,,其他,危险化学品安全监管,,
澳门危险化学品储运监管制度之研究,谢耀光,华侨大学,硕士,2005,,,安全监管体系,危险化学品安全监管,,
兰州市危险化学品行业安全监管研究,石,西北师范大学,硕士,2016,,,安全监管体系,危险化学品安全监管,,
典型有机化学品的人体致癌毒性和内分泌干扰毒性的机器学习分类与回归模型预测,郝宁,吉林大学,硕士,2024,"...、美国生态环境保护署和欧洲环境署等国家环境保护机构正面临评估化学品的健康危害和环境影响的挑战,故寻找高效可靠的化学品毒性评估方法迫在眉睫。本文通过中华人民共和国应急管理部（原中国国家安全监管总局）发布的《危险化学品目录（2015版）》...",机器学习；有机化学品；致癌性；内分泌干扰性；分子动力学,其他,危险化学品安全监管,,
服务性政府视角下的危险化学品监管研究——以义乌市为例,陈梦蕾,浙江师范大学,硕士,2016,...、电镀等义乌支柱行业的快速发展，危险化学品的作用日益凸显。义乌市危险化学品产业分布广，企业呈“小、散、乱”状态、致使监管非常困难。目前本市安全监管中比较突出的三个矛盾即产业发展与城市规划所产生的矛盾...,服务性；政府；视角；危险化学品；监管研究,其他,危险化学品安全监管,,
基于双目视觉的危险化学品库内堆垛测距关键技术的研究,袁碧贤,北京化工大学,硕士,2019,"...,研究机器视觉中的双目视觉测距方法实现对危化品堆垛“五距”测量,进而实现堆垛的安全状态监测,是非常有前景的解决方案,对于危险化学品的有效监管与安全预防有重要的意义。本文开展双目视觉“五距...",双目视觉；危险化学品；堆垛；测距,其他,危险化学品安全监管,,
A市危险化学品安全生产监管困境及其对策研究,徐艳,华东政法大学,硕士,2025,...,,其他,危险化学品安全监管,,
四川省D市安全生产监管机制研究,刘涛,中共四川省委党校,硕士,2022,,安全生产；工业城市；监管机制,安全监管体系,危险化学品安全监管,,
危险化学品运输车辆监控系统设计与研究,夏武,江汉大学,硕士,2017,,,其他,危险化学品安全监管,,
协同视角下姜堰区机械制造业企业安全生产监管研究,陈祎,南京理工大学,硕士,2024,,,其他,危险化学品安全监管,,
东莞市危险化学品经营安全监管问题与对策研究,邓俊浩,中山大学政治与公共事务管理学院,硕士,2011,,,安全监管体系,危险化学品安全监管,,
危险化学品生产企业安全等级定量评估方法研究,陈震西,首都经济贸易大学,硕士,2017,,,其他,危险化学品安全监管,,
危险化学品道路运输安全保障管理对策研究,张爱红,长安大学,硕士,2011,,,运输监管,危险化学品安全监管,,
危险化学品水路运输安全监督博弈问题研究,袁国栋,大连海事大学,硕士,2008,,,其他,危险化学品安全监管,,
化工园区危险化学品事故应急调度的研究,任正中,北京化工大学,硕士,2016,,,园区安全管理,危险化学品安全监管,,
危险化学品运输安全的优化调度研究,马欣,中国地质大学(武汉),硕士,2011,,,其他,危险化学品安全监管,,
典型危险化学品环境风险评价的应用研究,李向阳,天津工业大学,硕士,2015,,,风险评价方法,危险化学品安全监管,,
基于RFID技术的危险化学品智能仓储管理系统,杨飞龙,天津理工大学,硕士,2015,"...、信息修改功能等不仅加强了信息的安全性,同时也使用户查阅信息更加方便,大大提高了危险化学品仓储管理系统的自动化和智能化水平......,能够应用于危险化学品仓库的日常监管中。",危险化学品；智能仓储管理系统；RFID；LabVIEW；无线充电,储存安全,危险化学品安全监管,,
危险化学品选址及车辆路径问题研究,徐腾飞,北京化工大学,硕士,2015,"...。随着经济的快速发展,危险化学品的生产量以及使用量日益增加,其生产和运输面临着更大的安全以及监管压力。对生产和使用危险化学品的化工厂建立应急中心并对应急中心进行合理的选址...",危险化学品；应急中心选址；车辆路径问题；多目标规划；蚁群算法,运输路径优化,危险化学品安全监管,,
